source;target;label;type;obs
EDI-49;EDI-38;requisito;undirected;
EDI-64;MPG-02;requisito;undirected;
EDI-65;EDI-46;requisito;undirected;
EDI-65;EDI-49;requisito;undirected;
GEO-36;GEO-31;requisito;undirected;
GEO-45;GEO-36;requisito;undirected;
GEO-48;GEO-36;requisito;undirected;
GEO-53;GEO-45;requisito;undirected;
GEO-55;GEO-47;requisito;undirected;
HID-31;MEB-01;requisito;undirected;
HID-32;HID-31;requisito;undirected;
HID-41;HID-32;requisito;undirected;
HID-43;EDI-64;requisito;undirected;
HID-43;HID-32;requisito;undirected;
HID-44;HID-41;requisito;undirected;
TRA-46;TRA-39;requisito;undirected;
TRA-53;MOQ-43;requisito;undirected;
TRA-57;TRA-39;requisito;undirected;
TRA-64;TRA-39;requisito;undirected;
CES-25;CES-10;requisito;undirected;
CES-27;CES-11;requisito;undirected;
CES-33;CES-11;requisito;undirected;
CCI-36;CES-11;requisito;undirected;
CCI-37;CES-11;requisito;undirected;
CCI-38;CES-11;requisito;undirected;
CES-22;CES-10;requisito;undirected;
CES-26;CES-22;requisito;undirected;
CES-28;CES-22;requisito;undirected;
CES-29;CES-28;requisito;undirected;
CES-30;CES-20;requisito;undirected;
CES-38;CES-11;requisito;undirected;
CES-65;CES-29;requisito;undirected;
CES-11;CES-10;requisito;undirected;
CES-23;CES-11;requisito;undirected;
CES-41;CES-11;requisito;undirected;
CCI-22;CES-10;requisito;undirected;
CTC-17;CTC-11;requisito;undirected;
CTC-18;CTC-17;requisito;undirected;
CTC-34;CTC-20;requisito;undirected;
CTC-42;CES-11;requisito;undirected;
