source;target;label;type;obs
CIV-51;CIV-41;topicos;undirected;
CIV-51;CIV-42;topicos;undirected;
CIV-52;CIV-31;topicos;undirected;
CIV-52;CIV-32;topicos;undirected;
CIV-52;CIV-41;topicos;undirected;
CIV-52;CIV-42;topicos;undirected;
CIV-52;CIV-51;topicos;undirected;
EDI-34;EEA-02;topicos;undirected;
EDI-34;EEA-47;topicos;undirected;
EDI-34;EEA-48;topicos;undirected;
EDI-34;ELE-16;topicos;undirected;
EDI-34;ELE-27;topicos;undirected;
EDI-34;EES-30;topicos;undirected;
EDI-34;MPD-43;topicos;undirected;
EDI-34;MTM-31;topicos;undirected;
EDI-48;AED-37;topicos;undirected;
GEO-47;FIS-80;topicos;undirected;
GEO-48;MPD-43;topicos;undirected;
GEO-48;MTM-31;topicos;undirected;
HID-31;MEB-14;topicos;undirected;
HID-44;FIS-80;topicos;undirected;
HID-63;PRP-50;topicos;undirected;
HID-63;HID-53;topicos;undirected;
HID-65;HID-53;topicos;undirected;
HID-65;HID-63;topicos;undirected;
TRA-64;ELE-26;topicos;undirected;
CES-33;EET-41;topicos;undirected;
CES-33;ELE-48;topicos;undirected;
CES-33;MPS-22;topicos;undirected;
CES-33;MPS-39;topicos;undirected;
CCI-37;PRJ-80;topicos;undirected;
CCI-38;PRJ-80;topicos;undirected;
CCI-38;CCI-37;topicos;undirected;
CES-46;MVO-61;topicos;undirected;
CES-65;SIS-04;topicos;undirected;
CES-65;ELE-27;topicos;undirected;
CES-65;MPS-22;topicos;undirected;
CES-65;MPS-39;topicos;undirected;
CES-65;CES-29;topicos;undirected;
CTC-21;CTC-11;topicos;undirected;
